,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
"('over', 'PRT')",0.0,0.00019286403,0.0074897017,0.0,0.0,0.0,0.0,0.0,0.0,0.0019554165,0.0,0.0
"('from', 'ADP')",0.0,0.0,0.039820246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('previous', 'ADJ')",0.0,0.0019286403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('session', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0002983802,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('and', 'CONJ')",0.0,0.00057859207,0.00012482837,0.0,0.6632488,0.0,8.525149e-05,0.0,0.0,0.0,0.0,0.0
"('traders', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.001662404,0.0,0.0,0.0,0.0,0.0
"('apparently', 'ADV')",0.0,0.0,0.0,0.004340963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ignored', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('reports', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00034100597,0.0,0.0,0.0,0.00018243182,0.0
"('that', 'ADP')",0.0,0.0,0.052677568,0.00078926596,0.0,0.033380482,0.0,0.0,0.0,0.0,0.0,0.0
"('a', 'DET')",0.0,0.00038572805,0.00012482837,0.0,0.0,0.21980198,0.0,0.0,0.0,0.0,0.0,0.00018695083
"('Chilean', 'ADJ')",0.0,0.00019286403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('mine', 'ADJ')",0.0,0.0,0.0,0.0,0.0,0.0,4.2625747e-05,0.0,0.0,0.0,0.0,0.0
"('strike', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00034100597,0.0,0.0,0.0,0.00018243182,0.0
"('may', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005108091,0.0
"('have', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022439113,0.0
"('ended', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016418863,0.0
"('almost', 'ADV')",0.0,0.0,0.0,0.0067087607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('before', 'ADP')",0.0,0.0,0.0038696793,0.002367798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('it', 'PRON')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17550275,0.0,0.0,0.0
"('began', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023716136,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('an', 'DET')",0.0,0.0,0.0,0.0,0.0,0.03507779,0.0,0.0,0.0,0.0,0.0,0.0
"('analyst', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0009377664,0.0,0.0,0.0,0.0,0.0
"('said', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046337683,0.0
"('0', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16526453
"('*T*-1', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122078896
"('.', '.')",0.32801604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('An', 'DET')",0.0,0.0,0.0,0.0,0.0,0.001980198,0.0,0.0,0.0,0.0,0.0,0.0
"('official', 'NOUN')",0.0,0.00038572805,0.0,0.0,0.0,0.0,0.0005967604,0.0,0.0,0.0,0.0,0.0
"('of', 'ADP')",0.0,0.0,0.23430283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('Palestinian', 'NOUN')",0.0,0.00019286403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Olympic', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,4.2625747e-05,0.0,0.0,0.0,0.0,0.0
"('Committee', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00034100597,0.0,0.0,0.0,0.0,0.0
"('said', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046337683,0.0
"('0', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16526453
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('committee', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0003836317,0.0,0.0,0.0,0.0,0.0
"('first', 'ADV')",0.0,0.010028929,0.0,0.002762431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('applied', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027364772,0.0
"('for', 'ADP')",0.0,0.0,0.08238672,0.0,0.0,0.0,0.0,0.0,0.0,0.0003910833,0.0,0.0
"('membership', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00017050299,0.0,0.0,0.0,0.0,0.0
"('in', 'ADP')",0.0,0.0,0.15665959,0.00078926596,0.0,0.0,4.2625747e-05,0.0,0.0,0.0043019163,0.0,0.0
"('1979', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010309279,0.0,0.0,0.0,0.0
"('and', 'CONJ')",0.0,0.00057859207,0.00012482837,0.0,0.6632488,0.0,8.525149e-05,0.0,0.0,0.0,0.0,0.0
"('renewed', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027364772,0.0
"('its', 'PRON')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12157221,0.0,0.0,0.0
"('application', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00012787724,0.0,0.0,0.0,0.0,0.0
"('in', 'ADP')",0.0,0.0,0.15665959,0.00078926596,0.0,0.0,4.2625747e-05,0.0,0.0,0.0043019163,0.0,0.0
"('August', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0006393862,0.0,0.0,0.0,0.0,0.0
"('of', 'ADP')",0.0,0.0,0.23430283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('this', 'DET')",0.0,0.0,0.0,0.0,0.0,0.021216407,0.0,0.0,0.0,0.0,0.0,0.0
"('year', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.007246377,0.0,0.0,0.0,0.0,0.0
"('.', '.')",0.32801604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('``', '.')",0.059053455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('If', 'ADP')",0.0,0.0,0.0039945077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('I', 'PRON')",0.0,0.0,0.0,0.0,0.0,0.0,8.525149e-05,0.0,0.04250457,0.0,0.0,0.0
"('were', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014594546,0.0
"('choosing', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,4.2625747e-05,0.0,0.0,0.0,9.121591e-05,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('people', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0018755328,0.0,0.0,0.0,0.0,0.0
"('of', 'ADP')",0.0,0.0,0.23430283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('tomorrow', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00017050299,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('I', 'PRON')",0.0,0.0,0.0,0.0,0.0,0.0,8.525149e-05,0.0,0.04250457,0.0,0.0,0.0
"('would', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016054,0.0
"('have', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022439113,0.0
"('chosen', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027364772,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('people', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0018755328,0.0,0.0,0.0,0.0,0.0
"('who', 'PRON')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06032907,0.0,0.0,0.0
"('*T*-1', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122078896
"('are', 'VERB')",0.0,0.0,0.00012482837,0.0,0.0,0.0,4.2625747e-05,0.0,0.0,0.0,0.02672626,0.0
"('now', 'ADV')",0.0,0.0,0.0,0.018547751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('on', 'ADP')",0.0,0.0,0.04805892,0.0,0.0,0.0,0.0,0.0,0.0,0.0019554165,0.0,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('board', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0010656436,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(""''"", '.')",0.05778576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('he', 'PRON')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08318099,0.0,0.0,0.0
"('said', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046337683,0.0
"('*T*-2', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05178538
"('.', '.')",0.32801604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Preston', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('G.', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00021312873,0.0,0.0,0.0,0.0,0.0
"('Foster', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00021312873,0.0,0.0,0.0,0.0,0.0
"('Birmingham', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Ala', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('.', '.')",0.32801604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('``', '.')",0.059053455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('He', 'PRON')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025137112,0.0,0.0,0.0
"('has', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026361397,0.0
"('clamped', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('on', 'ADP')",0.0,0.0,0.04805892,0.0,0.0,0.0,0.0,0.0,0.0,0.0019554165,0.0,0.0
"('their', 'PRON')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06627057,0.0,0.0,0.0
"('ankle', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('like', 'ADP')",0.0,0.00019286403,0.004119336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009121591,0.0
"('a', 'DET')",0.0,0.00038572805,0.00012482837,0.0,0.0,0.21980198,0.0,0.0,0.0,0.0,0.0,0.00018695083
"('pit', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,4.2625747e-05,0.0,0.0,0.0,0.0,0.0
"('bull', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,4.2625747e-05,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(""''"", '.')",0.05778576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('says', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016145216,0.0
"('*T*-1', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122078896
"('Paul', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00012787724,0.0,0.0,0.0,0.0,0.0
"('Leming', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('a', 'DET')",0.0,0.00038572805,0.00012482837,0.0,0.0,0.21980198,0.0,0.0,0.0,0.0,0.0,0.00018695083
"('vice', 'NOUN')",0.0,0.0,0.0,0.00039463298,0.0,0.0,0.0014492754,0.0,0.0,0.0,0.0,0.0
"('president', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0044757035,0.0,0.0,0.0,0.0,0.0
"('with', 'ADP')",0.0,0.0,0.03894645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Morgan', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00025575448,0.0,0.0,0.0,0.0,0.0
"('Stanley', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00025575448,0.0,0.0,0.0,0.0,0.0
"('&', 'CONJ')",0.0,0.0,0.0,0.0,0.039395574,0.0,0.0,0.0,0.0,0.0,0.0,0.00018695083
"('Co', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0005967604,0.0,0.0,0.0,0.0,0.0
"('.', '.')",0.32801604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Brazil', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00025575448,0.0,0.0,0.0,0.0,0.0
"('is', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04971267,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('third-largest', 'ADJ')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('producer', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00012787724,0.0,0.0,0.0,0.0,0.0
"('*RNR*-1', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052346233
"('and', 'CONJ')",0.0,0.00057859207,0.00012482837,0.0,0.6632488,0.0,8.525149e-05,0.0,0.0,0.0,0.0,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('fifth-largest', 'ADJ')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('exporter', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00017050299,0.0,0.0,0.0,0.0,0.0
"('*RNR*-1', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052346233
"('of', 'ADP')",0.0,0.0,0.23430283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sugar', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00080988917,0.0,0.0,0.0,0.0,0.0
"('in', 'ADP')",0.0,0.0,0.15665959,0.00078926596,0.0,0.0,4.2625747e-05,0.0,0.0,0.0043019163,0.0,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('world', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0007672634,0.0,0.0,0.0,0.0,0.0
"('.', '.')",0.32801604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('The', 'DET')",0.0,0.0,0.0,0.0,0.0,0.079915136,0.00017050299,0.0,0.0,0.0,0.0,0.0
"('man', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00025575448,0.0,0.0,0.0,0.0,0.0
"('was', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027273556,0.0
"('Charles', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00034100597,0.0,0.0,0.0,0.0,0.0
"('Z.', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Wick', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('.', '.')",0.32801604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Reed', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00017050299,0.0,0.0,0.0,0.0,0.0
"('International', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0010230179,0.0,0.0,0.0,0.0,0.0
"('PLC', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00034100597,0.0,0.0,0.0,0.0,0.0
"('said', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046337683,0.0
"('that', 'ADP')",0.0,0.0,0.052677568,0.00078926596,0.0,0.033380482,0.0,0.0,0.0,0.0,0.0,0.0
"('net', 'ADJ')",0.0,0.005207329,0.0,0.0,0.0,0.0,0.00051150896,0.0,0.0,0.0,0.0,0.0
"('income', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0014919011,0.0,0.0,0.0,0.0,0.0
"('for', 'ADP')",0.0,0.0,0.08238672,0.0,0.0,0.0,0.0,0.0,0.0,0.0003910833,0.0,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('six', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008591065,0.0,0.0,0.0,0.0
"('months', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0020034101,0.0,0.0,0.0,0.0,0.0
"('ended', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016418863,0.0
"('Oct.', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0007672634,0.0,0.0,0.0,0.0,0.0
"('1', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012027492,0.0,0.0,0.0,0.0005608525
"('slipped', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('5', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034364262,0.0,0.0,0.0,0.00018695083
"('%', 'NOUN')",0.0,0.00019286403,0.0,0.0,0.0,0.0,0.015387895,0.0,0.0,0.0,0.0,0.0
"('to', 'PRT')",0.0,0.0,0.00024965673,0.0,0.0,0.0,0.0,0.0,0.0,0.6738365,0.0,0.0
"('#', '.')",0.0011620537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('89.7', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('million', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11030928,0.0,0.0,0.0,0.0
"('*U*', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11422696
"('-LRB-', '.')",0.008240017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('$', '.')",0.06232833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('141.9', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('million', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11030928,0.0,0.0,0.0,0.0
"('*U*', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11422696
"('-RRB-', '.')",0.008873864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('or', 'CONJ')",0.0,0.0,0.0,0.0,0.1311387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('16', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030927835,0.0,0.0,0.0,0.0
"('pence', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0002983802,0.0,0.0,0.0,0.0,0.0
"('a', 'DET')",0.0,0.00038572805,0.00012482837,0.0,0.0,0.21980198,0.0,0.0,0.0,0.0,0.0,0.00018695083
"('share', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.004219949,0.0,0.0,0.0,0.00027364772,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('from', 'ADP')",0.0,0.0,0.039820246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('#', '.')",0.0011620537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('94.8', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('million', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11030928,0.0,0.0,0.0,0.0
"('*U*', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11422696
"('-LRB-', '.')",0.008240017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('$', '.')",0.06232833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('149.9', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('million', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11030928,0.0,0.0,0.0,0.0
"('*U*', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11422696
"('-RRB-', '.')",0.008873864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('or', 'CONJ')",0.0,0.0,0.0,0.0,0.1311387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('17.3', 'NUM')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006872852,0.0,0.0,0.0,0.0
"('pence', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0002983802,0.0,0.0,0.0,0.0,0.0
